ID,Resort,Latitude,Longitude,Country,Continent,Price,Season,Highest point,Lowest point,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Longest run,Snow cannons,Surface lifts,Chair lifts,Gondola lifts,Total lifts,Lift capacity,Child friendly,Snowparks,Nightskiing,Summer skiing,Country_numeric,Continent_numeric,Child friendly_numeric,Snowparks_numeric,Nightskiing_numeric,Summer skiing_numeric,Season_numeric,key,Rank,Other_name,Rating,rank
111,Lech (Ski Arlberg),47.18265425,10.14043361,Austria,Europe,53,December - April,2811,1270,130,123,51,304,6,747,53,45,15,113,145127,Yes,Yes,No,No,1,0,1,1,0,0,5,lech arlberg,2406.0,Annerlbauer – Krieglach,846.4,2406.0
112,Kitzbühel / Kirchberg (KitzSki),47.4463585,12.3911473,Austria,Europe,55,October - April,2000,800,101,61,17,179,8,1102,15,28,11,54,92510,Yes,Yes,Yes,No,1,0,1,1,1,0,7,kitzbuhel kirchberg kitzski,42.0,KitzSki (Kitzbühel),1099.3,42.0
113,Galtu?r,46.9194554,10.17059035,Austria,Europe,40,December - April,2300,1600,6,25,12,43,4,133,9,2,2,13,15442,Yes,Yes,Yes,No,1,0,1,1,1,0,5,galtu r,373.0,Galtür,979.6,373.0
114,Fieberbrunn - Saalbach Hinterglemm Leogang (Skicircus),47.45518755,12.54442426,Austria,Europe,53,November - April,2096,830,140,112,18,270,0,927,21,22,28,71,135104,Yes,Yes,Yes,No,1,0,1,1,1,0,6,fieberbrunn saalbach hinterglemm leogang skicircus,,,,
115,Schladming (4-Berge-Skischauke),47.3940415,13.6867878,Austria,Europe,52,April,2015,745,46,68,8,122,4,600,16,20,10,46,71842,Yes,Yes,Yes,No,1,0,1,1,1,0,1,schladming 4 berge skischauke,53.0,Schladming 4-Berge Skischaukel,1090.0,53.0
116,Ellmau (SkiWelt Wilder Kaiser-Brixental),47.51927245,12.29224775,Austria,Europe,49,December - April,1957,620,122,129,33,284,7,1700,54,35,16,105,147250,Yes,Yes,Yes,No,1,0,1,1,1,0,5,ellmau skiwelt wilder kaiser brixental,25.0,SkiWelt,1122.6,25.0
117,Zauchensee,47.2933062,13.4568962,Austria,Europe,52,April,2188,1000,23,16,4,43,6,113,9,6,4,19,25988,Yes,Yes,No,No,1,0,1,1,0,0,1,zauchensee,150.0,Zauchensee,1030.3,150.0
118,Westendorf (SkiWelt Wilder Kaiser-Brixental),47.3831879,12.22174856,Austria,Europe,49,December - April,1957,620,122,129,33,284,0,1700,54,35,16,105,147250,Yes,Yes,Yes,No,1,0,1,1,1,0,5,westendorf skiwelt wilder kaiser brixental,1110.0,Zahmer Kaiser,904.3,1110.0
119,Silvretta Montafon,47.03503335,9.976778589,Austria,Europe,53,November - April,2430,700,60,45,8,113,12,330,25,18,10,53,67472,Yes,Yes,No,No,1,0,1,1,0,0,6,silvretta montafon,47.0,Silvretta Montafon,1095.8,47.0
120,Zürs (Ski Arlberg),47.194717,10.160198,Austria,Europe,53,December - April,2811,1270,130,123,51,304,0,747,53,45,15,113,145127,Yes,Yes,No,No,1,0,1,1,0,0,5,zurs arlberg,860.0,Emberger Alm,921.0,860.0
121,Söll (SkiWelt Wilder Kaiser-Brixental),47.503178,12.190132,Austria,Europe,49,December - April,1957,620,122,129,33,284,0,1700,54,35,16,105,147250,Yes,Yes,Yes,No,1,0,1,1,1,0,5,soll skiwelt wilder kaiser brixental,,,,
122,St. Johann in Tirol,47.5224141,12.4286809,Austria,Europe,44,December - April,1604,659,16,23,3,42,8,260,12,4,4,20,21100,Yes,No,Yes,No,1,0,1,0,1,0,5,st johann in tirol,236.0,St. Johann in Tirol,1008.3,236.0
123,St. Christoph (Ski Arlberg),47.022264,15.4708255,Austria,Europe,53,December - April,2811,1270,130,123,51,304,0,747,53,45,15,113,145127,Yes,Yes,No,No,1,0,1,1,0,0,5,st christoph arlberg,1802.0,Aichelberglifts,869.4,1802.0
124,Courmayeur / Che?crouit -? Val Veny,45.7874248,6.9730618,Italy,Europe,46,Unknown,2755,1205,16,21,4,41,0,280,4,8,6,18,24497,Yes,Yes,No,No,7,0,1,1,0,0,0,courmayeur che crouit val veny,102.0,Courmayeur,1049.7,102.0
125,Sierra Nevada-Pradollano,37.0957512,-3.387885004,Spain,Europe,47,November - May,3282,2100,50,49,7,106,0,350,5,14,2,21,59205,Yes,Yes,Yes,No,18,0,1,1,1,0,7,sierra nevada pradollano,114.0,Sierra Nevada,1044.3,114.0
126,Cortina d'Ampezzo,46.5383332,12.1373506,Italy,Europe,52,November - April,2924,1224,45,55,20,120,11,130,8,26,6,40,48089,Yes,Yes,No,No,7,0,1,1,0,0,6,cortina d ampezzo,48.0,Cortina d'Ampezzo,1095.7,48.0
127,Val Senales Glacier,46.7699617,10.7974224,Italy,Europe,44,October - May,3212,2011,8,7,11,26,8,0,6,6,2,14,15838,Yes,Yes,No,No,7,0,1,1,0,0,8,val senales glacier,163.0,Val Senales Glacier,1027.2,163.0
128,Saas-Fee,46.107342,7.9247055,Switzerland,Europe,63,July - April,3573,1800,20,60,20,100,14,102,14,2,9,25,25160,Yes,Yes,No,Yes,6,0,1,1,0,1,10,saas fee,43.0,Saas-Fee,1096.5,43.0
129,Champoluc (Monterosa Ski),45.8366951,7.731371649,Italy,Europe,43,December - April,3275,1212,23,94,15,132,0,655,9,9,12,30,31984,Yes,Yes,No,No,7,0,1,1,0,0,5,champoluc monterosa,793.0,Champorcher,925.8,793.0
130,Kronplatz (Plan de Corones),46.7387791,11.9583111,Italy,Europe,54,November - April,2275,973,52,42,25,119,7,450,6,5,21,32,71205,Yes,Yes,Yes,No,7,0,1,1,1,0,6,kronplatz plan de corones,77.0,Kronplatz,1071.2,77.0
131,Formigal,42.7741349,-0.3608611,Spain,Europe,44,November - April,2251,1501,47,70,20,137,6,440,9,11,0,20,29450,Yes,Yes,No,No,18,0,1,1,0,0,6,formigal,182.0,Formigal,1021.2,182.0
132,Baqueira / ?Beret,42.6988865,0.9347175,Spain,Europe,50,December - April,2510,1471,79,52,19,150,5,629,14,19,2,35,53997,Yes,Yes,No,No,18,0,1,1,0,0,5,baqueira beret,54.0,Baqueira Beret,1088.3,54.0
133,Sauze dOulx (Via Lattea),45.0259571,6.8602827,Italy,Europe,48,November - April,2749,1372,96,220,84,400,0,0,29,35,7,71,96433,Yes,No,Yes,No,7,0,1,0,1,0,6,sauze doulx via lattea,,,,
134,Cervinia,45.96300885,7.715412186,Switzerland,Europe,81,Year-round,3899,1562,75,220,27,322,0,1060,21,22,20,63,93464,Yes,Yes,No,Yes,6,0,1,1,0,1,0,cervinia,3214.0,La Brévine,814.3,3214.0
135,Wasserngrat (Gstaad),46.4643909,7.3169684,Switzerland,Europe,54,December - March,1900,1275,3,3,2,8,0,0,0,1,0,1,900,Yes,No,No,No,6,0,1,0,0,0,4,wasserngrat gstaad,428.0,Wasserngrat,970.4,428.0
136,Wispile (Gstaad),46.4518335,7.296177853,Switzerland,Europe,54,December - March,1941,1046,3,3,1,7,0,0,3,0,2,5,3601,Yes,No,Yes,No,6,0,1,0,1,0,4,wispile gstaad,267.0,Wispile,999.8,267.0
137,Crans-Montana,46.3304899,7.526435804,Switzerland,Europe,60,November - April,1510,540,55,70,15,140,12,0,12,6,5,23,29500,Yes,Yes,No,No,6,0,1,1,0,0,6,crans montana,63.0,Crans-Montana,1080.6,63.0
138,Brunni - Engelberg,46.84087305,8.410638259,Switzerland,Europe,38,December - April,2040,1050,2,3,2,7,0,0,3,1,1,5,2577,Yes,No,No,No,6,0,1,0,0,0,5,brunni engelberg,34.0,Engelberg - Titlis,1110.3,34.0
139,Arosa Lenzerheide,46.7548885,9.566024408,Switzerland,Europe,63,October - April,2865,1229,111,87,27,225,4,0,24,18,8,50,63936,Yes,Yes,Yes,No,6,0,1,1,1,0,7,arosa lenzerheide,23.0,Arosa Lenzerheide,1124.9,23.0
140,Verbier (4 Valle?es),46.1003545,7.276506393,Switzerland,Europe,66,December - April,3330,821,107,202,103,412,8,0,39,17,19,75,85022,Yes,Yes,Yes,No,6,0,1,1,1,0,5,verbier 4 valle es,1.0,4 Vallées (Verbier),1311.7,1.0
141,St. Moritz - Corviglia,46.5079945,9.818959,Switzerland,Europe,69,November - April,3057,1720,42,79,34,155,6,170,11,12,5,28,31220,Yes,Yes,No,No,6,0,1,1,0,0,6,st moritz corviglia,67.0,St. Moritz – Corviglia,1078.0,67.0
142,Gresse en Vercors,44.9011374,5.5662216,France,Europe,19,December - March,1751,1245,8,7,5,20,0,51,10,1,0,11,6808,Yes,Yes,No,No,8,0,1,1,0,0,4,gresse en vercors,1165.0,Gresse en Vercors,900.8,1165.0
143,Nendaz (4 Valle?es),46.1003545,7.276506393,Switzerland,Europe,66,December - April,3330,821,107,202,103,412,8,0,39,17,19,75,85022,Yes,Yes,Yes,No,6,0,1,1,1,0,5,nendaz 4 valle es,,,,
144,Villars -? Gryon / Les Diablerets,46.3289335,7.1096087,Switzerland,Europe,54,December - April,2120,1224,51,45,4,100,0,0,20,9,4,33,38905,Yes,Yes,No,No,6,0,1,1,0,0,5,villars gryon les diablerets,203.0,Villars/Gryon/Les Diablerets,1016.8,203.0
145,Thyon (4 Valle?es),46.1003545,7.276506393,Switzerland,Europe,66,December - April,3330,821,107,202,103,412,8,0,39,17,19,75,85022,Yes,Yes,Yes,No,6,0,1,1,1,0,5,thyon 4 valle es,2753.0,Les Orvales,832.7,2753.0
146,Veysonnaz (4 Valle?es),46.1003545,7.276506393,Switzerland,Europe,66,December - April,3330,821,107,202,103,412,8,0,39,17,19,75,85022,Yes,Yes,Yes,No,6,0,1,1,1,0,5,veysonnaz 4 valle es,,,,
147,Buchenberg-Buching-Halblech-,47.606423,10.8106751,Germany,Europe,25,December - March,1140,810,2,4,0,6,0,0,2,1,0,3,2800,Yes,No,No,No,5,0,1,0,0,0,4,buchenberg buching halblech,1371.0,Buchenberg,888.6,1371.0
148,Alpendorf (Ski amedé),47.3225067,13.1954241,Austria,Europe,52,November - April,1980,740,30,81,4,115,0,600,22,16,11,49,75398,Yes,Yes,No,No,1,0,1,1,0,0,6,alpendorf amede,,,,
149,Me?ribel (Les 3 Valle?es),45.39139,6.574283,France,Europe,61,November - May,3230,1110,312,216,72,600,0,2383,62,63,40,165,250860,Yes,Yes,Yes,No,8,0,1,1,1,0,7,me ribel les 3 valle es,27.0,Les Sybelles,1118.9,27.0
150,?Les Menuires (Les 3 Valle?es),45.322108,6.537697,France,Europe,61,November - May,3230,1110,312,216,72,600,0,2383,62,63,40,165,250860,Yes,Yes,Yes,No,8,0,1,1,1,0,7,les menuires les 3 valle es,495.0,Valberg/Beuil les Launes,961.0,495.0
151,Les Sybelles-Le Corbier-?La Toussuire-?Les Bottie?res-?St Colomban des Villards-?St Sorlin-?St Jean dArves,45.25492475,6.248865708,France,Europe,44,December - April,2620,1100,53,239,18,310,7,514,44,28,0,72,83807,Yes,Yes,Yes,No,8,0,1,1,1,0,5,les sybelles le corbier la toussuire les bottie res st colomban des villards st sorlin st jean darves,630.0,St. Jean Montclar,941.3,630.0
